"id","ACTIVITY","SUBACTIVITY","TASK","TITLE","ARCHETYPE","METHODS","KEYWORDS","SYNTAX","SOURCES","URL","ICON","LAST_UPDATE"
1,"3-ingest","1-tabular","1-delimited-data-file","average-working-hours-of-children-csv","average-working-hours-of-children-csv","CSV","comma separated delimited","read.csv","Our World in Data","content/3-ingest/1-tabular/1-delimited-data-file/average-working-hours-of-children-csv.html","assets/symbols/3-ingest/1-delimited-data-file.svg",2021-12-06
2,"3-ingest","1-tabular","1-delimited-data-file","world-electricity-production-bom-csv","world-electricity-production-bom-csv","CSV-BOM","BOM byte order mark","read.csv fileEncoding","Our World in Data","content/3-ingest/1-tabular/1-delimited-data-file/world-electricity-production-bom-csv.html","assets/symbols/3-ingest/1-delimited-data-file.svg",2021-12-06
3,"3-ingest","1-tabular","1-delimited-data-file","ne-countries","ne-countries","CSV-Encoding","character language encoding UTF","read.csv Sys.setlocale","Natural Earth","content/3-ingest/1-tabular/1-delimited-data-file/ne-countries.html","assets/symbols/3-ingest/1-delimited-data-file.svg",2021-12-06
4,"3-ingest","1-tabular","1-delimited-data-file","teacher-salaries-tsv","teacher-salaries-tsv","TSV","tab tsv separated delimited","read.table sep","OECD","content/3-ingest/1-tabular/1-delimited-data-file/teacher-salaries-tsv.html","assets/symbols/3-ingest/1-delimited-data-file.svg",2021-12-06
5,"3-ingest","1-tabular","2-excel-data-file","alcohol-consumption-by-country","alcohol-consumption-by-country","Excel-Sheet","alcohol consumption","read_excel","World Health Organization","content/3-ingest/1-tabular/2-excel-data-file/alcohol-consumption-by-country.html","assets/symbols/3-ingest/2-excel-data-file.svg",2021-12-06
6,"3-ingest","1-tabular","2-excel-data-file","access-to-clean-cooking-fuel-skip","access-to-clean-cooking-fuel-skip","Excel-Skip","excel xls","read_excel skip","World Bank","content/3-ingest/1-tabular/2-excel-data-file/access-to-clean-cooking-fuel-skip.html","assets/symbols/3-ingest/2-excel-data-file.svg",2021-12-06
7,"3-ingest","2-relational","1-json-data-file","managed-sanitation-services","managed-sanitation-services","JSON-Nested","managed sanitation services","fromJSON flatten","World Health Organization","content/3-ingest/2-relational/1-json-data-file/managed-sanitation-services.html","assets/symbols/3-ingest/1-json-data-file.svg",2021-12-06
8,"3-ingest","2-relational","2-database","world-pm25","world-pm25","SQLite","concentration particulate matter PM2.5","dbConnect dbReadTable","World Health Organization","content/3-ingest/2-relational/2-database/world-pm25.html","assets/symbols/3-ingest/2-database.svg",2021-12-06
9,"3-ingest","4-pdf","1-structured","global-peace-index-report-2020","global-peace-index-report-2020","Table","global peace index","extract_tables extract_text pdf_data pdf_text","Vision Humanity Institute Economics Peace","content/3-ingest/4-pdf/1-structured/global-peace-index-report-2020.html","assets/symbols/3-ingest/1-structured.svg",2021-12-06
10,"3-ingest","5-web","1-structured","cities-by-sunshine-duration","cities-by-sunshine-duration","Table","cities sunshine","read_html html_node html_table","Wikipedia","content/3-ingest/5-web/1-structured/cities-by-sunshine-duration.html","assets/symbols/3-ingest/1-structured.svg",2021-12-06
